date;BTS Comdty;CN Comdty;DU Comdty;FV Comdty;G  Comdty;IK Comdty;JB Comdty;KAA Comdty;KE Comdty;OAT Comdty;OE Comdty;RX Comdty;TFC Comdty;TFS Comdty;TFT Comdty;TU Comdty;TY Comdty;UB Comdty;US Comdty;UXY Comdty;WN Comdty;XM Comdty;XQ Comdty;YM Comdty
2013-09-06;111.2521831497;211.7847455882;117.2292241841;212.4162749549;204.5228436897;127.486610559;256.8689993039;108.5411570678;148.3083549988;109.5895502767;186.5747144345;234.4468877783;100.0;;;145.4780787026;444.3986020376;132.1250992873;330.2646846345;;130.4316098203;229.9489215609;106.0539621291;153.9866919454
2013-09-09;111.2002738062;212.1909632314;117.2452680645;213.0587330621;204.2726908629;127.2874382323;257.6309184665;109.449194298;148.5232577709;109.4367981549;186.559466603;234.3270775542;99.7072158994;;;145.5402532501;445.92360995;131.5858317012;331.7044429692;;131.2035698274;231.2341214669;106.210703056;154.2507105574
2013-09-10;111.1379261965;211.1399461824;117.1970928457;212.5419371521;202.8102589525;127.064632324;258.070189286;109.1489419681;148.3939287063;108.7233095204;186.0710942282;232.8023969563;99.6328996093;;;145.4573538534;444.3986020376;129.9017935053;329.7046586356;;130.0753205862;230.2157148096;106.007548437;153.8958960878
2013-09-11;111.2316943509;211.4967628295;117.2346613173;213.0866223059;203.2360449562;127.3703290241;258.1231337658;109.2990563194;148.5228300993;109.1491256206;186.392434167;233.4379252524;99.3250178359;;;145.5402532501;446.0365734991;130.2914430207;331.1444169703;;130.7285175153;229.477230066;106.0815944619;153.8737250143
2013-09-12;111.2421185178;211.5648267298;117.3152075523;213.0866223059;204.5919324456;127.358565271;258.1943460765;109.8524800016;148.6524350844;109.524040994;186.8517328132;234.6065378914;99.5331646669;;;145.5609780992;446.1495370482;131.1144693535;331.8644161175;;131.0550565983;231.7837656789;106.0908636734;154.4267645971
2013-09-13;111.1694180215;211.7686233232;117.3045075971;213.0866223059;205.1162395415;127.0186725393;258.1588223594;109.460956311;148.4795852864;109.6938296015;186.9280007316;234.9661041569;99.550156245;;;145.5713405238;446.6013912445;131.9344653068;332.2642290083;;131.0848067494;230.9530895393;106.1186175004;154.1839654277
2013-09-16;111.3890657462;211.5302841527;117.3476108483;213.7850264858;205.8574090756;127.8685267971;;110.316318556;148.8116732835;110.1811577362;187.3120438399;235.8455273179;99.6478689981;;;145.7060520434;448.1263991569;132.1952472019;332.2642290083;;130.6393858253;232.7297036642;106.1742597381;154.5187156186
2013-09-17;111.5668092285;211.8202584588;117.3260672926;213.980418774;204.5533164272;128.4938797095;258.2831678863;110.6476597364;149.0133629753;110.1042400011;187.0663482852;235.1043305314;100.0554736715;;;145.7785890155;448.7476986768;131.4783655257;333.5440141947;;131.3817144444;231.7912586345;106.2393018427;154.2951245413
2013-09-18;111.6922658164;213.4366194079;117.2883688947;215.586571027;203.4000978564;128.7416424889;258.3901807052;;;109.9418702811;186.8206711374;234.5010760193;100.0278754384;;;145.9651126579;453.9440219339;130.8484257952;337.7033160504;;133.2819236928;231.5107602718;106.6100343637;154.2504709181
2013-09-19;111.9892746771;213.0245208871;117.403116412;215.2374457463;205.3858723497;129.7471728881;258.957760288;;;110.6962149795;187.5840497844;235.9700394005;;;;145.9547502333;452.5884593451;130.9806623122;335.8637448248;;132.3020689176;234.9439875339;106.6474485026;154.9752749237
