,LTN NTNF 0.5y,LTN NTNF 1y,LTN NTNF 1.5y,LTN NTNF 2y,LTN NTNF 3y,LTN NTNF 4y,LTN NTNF 5y,LTN NTNF 6y,LTN NTNF 7y,LTN NTNF 8y,LTN NTNF 9y,LTN NTNF 10y
2015-12-07 00:00:00,295.70797292838085,312.3772825698292,318.8686040011655,322.79832901339876,318.8735719276952,322.8233640249323,319.0847387886327,325.8538368944506,313.28625906884594,319.4363702587116,319.62165525008413,319.62165525008413
2015-12-08 00:00:00,295.853065134668,312.4629502440385,318.93728299588906,322.97857839058383,319.158313553944,323.0496182976759,317.344293968859,326.3930616129842,314.2375584766089,320.4063445906477,320.59219220325707,320.59219220325707
2015-12-09 00:00:00,296.04939656089095,312.81154365036303,319.44551523701153,323.66361405962857,319.7753755112808,324.06980109504576,318.360530343709,328.09471263077023,315.56672527107145,321.7616042102476,321.94823792390963,321.94823792390963
2015-12-10 00:00:00,296.10509324047416,312.3287132607124,318.30293936316565,321.95921547342414,317.77750703561986,322.0649922544827,319.42583332451767,325.8369666134791,313.30213290981044,319.45255571847235,319.6378500980143,319.6378500980143
2015-12-11 00:00:00,296.2278431832581,312.4764360730942,318.4833060114748,322.14562699033644,317.637581794767,321.2649119138411,316.9621681844795,324.2406966860612,311.54265626442003,317.65853885086705,317.84279263381205,317.84279263381205
2015-12-14 00:00:00,296.36438738849915,312.5150843161262,318.3262652689627,321.7502386320276,316.79568256806544,320.4278961220585,315.68210603342914,323.3070342340245,311.0007910051943,317.10603625438915,317.2899695652517,317.2899695652517
2015-12-15 00:00:00,296.56461325846857,312.87245887034476,318.7421389617097,322.0055437809042,317.13342564753196,320.56211011543076,314.59566254867093,323.5186745749137,311.04414473096244,317.1502410555756,317.3342000068691,317.3342000068691
2015-12-16 00:00:00,296.7021438823071,312.9322758580745,318.51600705274075,321.44836275012545,315.85861383326437,318.848612747383,311.1346922581763,320.9628634827678,308.48002178509466,314.5357819051502,314.71822437276734,314.71822437276734
2015-12-17 00:00:00,296.97240829853797,313.5826534577736,319.5133879130779,322.67681739874035,317.38999479985534,320.7708163507386,313.4446908489832,323.7441605765696,311.5023657993624,317.617457445151,317.8016873993508,317.8016873993508
2015-12-18 00:00:00,297.1352025365708,313.79010505380825,319.66243345878155,322.34551705086966,316.49650854493717,319.1346245727626,313.2412150793641,321.065689118135,308.79537309284655,314.85732386298776,315.03995283691546,315.03995283691546
2015-12-21 00:00:00,297.17922721109693,313.542206640564,318.79053225729336,321.16139991435347,314.5457231387246,316.90003876370184,310.764641782099,318.1016295675177,305.7081163076463,311.7094612518024,311.89026434818123,311.89026434818123
2015-12-22 00:00:00,297.38211457776606,313.9989434181901,319.34286964999313,321.7261472885777,315.11676071075567,317.12820873626936,309.0967493701675,318.27498941380225,305.6050062332445,311.6043270272695,311.7850691418826,311.7850691418826
