,DDI 0.5y,DDI 1y,DDI 1.5y,DDI 2y,DDI 3y,DDI 4y,DDI 5y,DDI 6y,DDI 7y,DDI 8y
2023-03-21 00:00:00,120.1739831646973,93.40041629446543,94.38568113764055,97.64526094188244,106.03063331680183,114.47589523058889,122.94223365191114,129.26547673308306,136.44012963210432,142.4105918722436
2023-03-22 00:00:00,119.91798749749498,93.042443085179,94.10647917399383,97.4418216696834,105.99055076758167,114.560506223442,123.10370123374143,129.4349844201848,136.70944691189715,142.77875038533622
2023-03-23 00:00:00,120.87350833798085,94.43804798548923,95.6294925466674,99.12243558938168,107.86958847354258,116.48878936144897,125.18387999073573,131.6134487759754,138.974074147229,145.09911202801584
2023-03-24 00:00:00,120.35662940958467,93.82272003216832,95.01342061312135,98.52869972424753,107.41497121589609,116.15241961405809,124.85338079320893,131.35292603288894,138.78560402774525,144.98471234251784
2023-03-27 00:00:00,119.67791804588937,92.97137235692671,94.06677413781861,97.46494338481598,106.1047085367083,114.63110064465658,123.11109883492281,129.34114989224693,136.46511212358556,142.37710065527793
2023-03-28 00:00:00,118.95711515879175,92.08808786306639,93.12765669958505,96.45328184970735,104.97401944297711,113.48181836418097,121.90568612565126,128.1518862139117,135.27704960204872,140.87600509498708
2023-03-29 00:00:00,118.69361045957447,91.75885581103033,92.76424768896061,96.07252860687889,104.6267413132011,113.19463827441388,121.65028462461363,127.92754856869611,135.11763237400936,140.73326942757552
2023-03-30 00:00:00,117.89968196957092,90.79824035831511,91.76884249866767,95.02451753462397,103.48038676304466,111.98532828947098,120.36619546906515,126.5948721092642,133.7272548196138,139.27909727726305
2023-03-31 00:00:00,117.50522503497946,90.34376124569746,91.3466607412519,94.63103725787006,103.15591143534878,111.76477041859798,120.35455040068597,126.75313351094056,134.09216264105405,139.76165587672315
2023-04-03 00:00:00,117.53716670574836,90.4031698996635,91.4526268907082,94.79294776358088,103.45327863909657,112.18311240203246,120.89183422288326,127.54356407570133,135.09101695141453,140.95415592391663
2023-04-04 00:00:00,117.68033281765618,90.61262915739883,91.74717655209162,95.17774945026858,104.03899311089167,113.03484277169717,122.06702148425116,129.09248951439264,137.0898057505619,143.28128158474397
2023-04-05 00:00:00,117.31600853194986,90.20848073163341,91.40681878315073,94.86054039890911,103.66691683558582,112.49716196352904,121.20395631536194,128.10307079180382,136.00036480558558,142.10594607736766
2023-04-06 00:00:00,117.19314472350143,90.03155122341312,91.1630134589216,94.56549049731407,103.30569861200493,112.02728562960473,120.67886328763169,127.65462569310512,135.48076156017905,141.5295788238282
2023-04-10 00:00:00,117.39176805577802,90.23034067093676,91.28016098320523,94.61008914880709,103.20545901308597,111.74904150099238,120.25666575947209,127.05992651977799,134.70690185875227,140.59237543217787
2023-04-11 00:00:00,116.27501636548935,88.88045065998612,89.8842195775741,93.15134167440944,101.64912712465812,110.1326650188955,118.51430315684192,125.09252759586728,132.61004393653636,138.38996021549124
2023-04-12 00:00:00,115.25923689007264,87.69273751758978,88.74189729023622,92.00446381215002,100.42677776869199,108.86387398760307,117.14983839300866,123.59024500718711,130.95205165810347,136.6784567102651
2023-04-13 00:00:00,115.13288773462494,87.54384932505614,88.59614752932139,91.84916891047395,100.21022023109258,108.57696603476936,116.89833470253345,123.21985794843093,130.47694285535107,136.10450432820454
2023-04-14 00:00:00,114.93474810798361,87.27309120447737,88.24923666957558,91.41923958830024,99.6435912469772,107.9685614130256,116.14035573592467,122.29861587650285,129.19302227309558,134.74482847155963
2023-04-17 00:00:00,114.9968192193191,87.33214821870698,88.27611100310043,91.42295803396357,99.61434136759189,107.86978945120576,115.92982639825044,121.95738582427748,128.70211391002283,134.0842620163849
2023-04-18 00:00:00,115.90217489794081,88.41552315631769,89.37292153293728,92.56340636408694,100.88831200507384,109.32268858440453,117.53919784267016,123.7225096757388,130.61895313000363,136.17711831391506
2023-04-19 00:00:00,117.22487631043286,89.97439829862766,90.89942253869374,94.11410144952829,102.56336603262446,111.15971829019529,119.62132562263983,125.80088279270306,132.74423747947046,138.36215462116462
2023-04-20 00:00:00,116.71870609097532,89.39445314128676,90.36798212205082,93.60521809210204,102.05536824795325,110.6065977694552,118.9239666595149,125.04502939244263,131.95962889609783,137.5371521478987
2023-04-24 00:00:00,116.66343202607257,89.3365443092965,90.32716261503512,93.58398542965755,102.06849940352154,110.6133541012547,118.96408011723128,125.11951590081331,132.06833468360318,137.67645537126978
2023-04-25 00:00:00,117.14690381304972,89.95472943597719,91.0387645394122,94.41293580272585,103.14484847774378,111.84332144757335,120.34980314700195,126.69461605796181,133.84282838461695,139.63407510787223
2023-04-26 00:00:00,116.94482923659515,89.72075877322908,90.81884315339248,94.18278730635959,102.86423545572725,111.55491800621363,119.9649444785795,126.3660177100702,133.49287546732532,139.26659046398058
2023-04-27 00:00:00,115.68163490441289,88.17757079682029,89.1881463450265,92.4439596230978,100.87947798240496,109.18676636741644,117.28705421888564,123.44553178784143,130.31878393066143,135.88911429876157
2023-04-28 00:00:00,115.83831547540322,88.37073771553861,89.39598978719522,92.65652781035408,101.09014633280393,109.50133632685555,117.79108110247468,124.14575884766991,131.1157698234632,136.78001468192764
