,FRC 0.5y,FRC 1y,FRC 1.5y,FRC 2y,FRC 3y,FRC 4y,FRC 5y,FRC 6y,FRC 7y,FRC 8y
2022-02-03 00:00:00,115.97847713902318,124.5143760238234,129.00428633881876,134.755214126413,149.11452971429165,163.89728951676352,177.7271018186941,189.53236308843142,201.83635882853702,213.2256812791395
2022-02-04 00:00:00,115.92019416736537,124.38661661015686,128.79084570887153,134.44641551466324,148.57523651703644,163.114791804502,176.62165917841597,188.2830696554403,200.77521147741666,212.16254880784427
2022-02-07 00:00:00,115.92610038030311,124.39194085645215,128.75718119584337,134.37822530230312,148.49427293544952,162.96202195164986,176.5662570767731,188.21391074711897,200.70584395792974,212.19647305333316
2022-02-08 00:00:00,115.89979615186284,124.33896668055583,128.69484459295865,134.30347223566855,148.3730007095068,162.78844112094566,176.3325899475871,187.91809711777353,200.34619546678948,211.7711919387279
2022-02-09 00:00:00,115.90069898076507,124.34468881154906,128.72530337537822,134.35190186577213,148.3783657561969,162.75018946450973,176.34644393444103,187.9481060375069,200.3746767027629,211.79691626853727
2022-02-10 00:00:00,115.81138248626009,124.14849817636957,128.3952823926807,133.88197936961075,147.6713951635253,161.98883345468565,175.3509138234616,186.80649092803796,199.21391200925643,210.55691373264415
2022-02-11 00:00:00,115.83241641817736,124.19380633662472,128.46651314310267,133.98138490497493,147.83328462185077,162.22467633949003,175.66381810492655,187.19504788014297,199.68509511872674,211.10261754798003
2022-02-14 00:00:00,115.80727594003073,124.13414531525036,128.34142656036866,133.79822690170954,147.64069330382233,162.0119339036717,175.51560360176404,187.02404260792684,199.57747547537215,211.00345954352488
2022-02-15 00:00:00,115.83410344529997,124.18663940984568,128.39387618211722,133.8440638485131,147.61361338349403,161.97542054072457,175.46512535198474,186.94615058467465,199.38199145738906,210.75612402519474
2022-02-16 00:00:00,115.86112401610683,124.24669302923125,128.49880000894055,133.99683990336231,147.85452487831594,162.20356966315754,175.62373612471086,187.06139374351562,199.39683080894645,210.62896295871388
2022-02-17 00:00:00,115.87574124564576,124.27825657197454,128.54886143524763,134.06375683311873,147.92512920512652,162.25152934449812,175.69523420661884,187.2312459896517,199.62223230609402,211.0198668859662
2022-02-18 00:00:00,115.89704741782424,124.32247454414676,128.60885192733767,134.1421402295193,148.0591700916979,162.4912413877404,176.02696998938345,187.70196975985152,199.9898713647345,211.43419539835477
2022-02-21 00:00:00,115.9131386144254,124.35367337428332,128.63822765015664,134.18158641972178,148.22192839113552,162.67549730294417,176.2682276427614,188.00713110713093,200.35697983253556,211.85166783149725
2022-02-22 00:00:00,115.89310166114456,124.30723677512091,128.546609007695,134.04921470194623,148.09122086029993,162.6824994284846,176.19984751397274,187.83601445973235,200.1417921163033,211.60418298756977
2022-02-23 00:00:00,115.90466140224845,124.32892397353685,128.5624479255612,134.05412134161227,148.01261533718767,162.36146120983884,175.71340069055407,187.23065353987576,199.41341759408425,210.7324276694566
2022-02-24 00:00:00,115.93864638375393,124.40473066309787,128.6964070208133,134.24203220326666,148.23794916811394,162.6858641979479,176.21051763816095,187.79902091280042,200.07294156228048,211.61144067484355
2022-02-25 00:00:00,116.19706282598052,124.90301930519254,129.1482268630036,134.65714794627323,148.66988786675802,163.1129355790997,176.47383170137576,187.97483425501014,200.16683898465138,211.58547577191678
2022-03-02 00:00:00,115.66899610876659,123.87681138344323,128.16713733852202,133.71628151914229,147.7988429559387,162.36812011706945,176.00537592854408,187.95719644959146,199.87342922788346,211.33924956141342
2022-03-03 00:00:00,115.64324868592547,123.81765409416415,128.06465663455685,133.58102355339787,147.6482274788731,162.2099012041336,175.81839609360165,187.66948711244717,199.96591256146843,211.3756655412296
2022-03-04 00:00:00,115.61214484504998,123.770656721281,128.04396522163128,133.60221152549906,147.8319431961238,162.63994928136435,176.5135904687817,188.52289705686127,200.88771813099638,212.32242725538634
2022-03-07 00:00:00,115.56036026821626,123.6724733989327,127.92549392730061,133.46647494541727,147.67799073387084,162.4741313631981,176.34197155865672,188.2555026803483,200.6529602552704,212.01010328468453
2022-03-08 00:00:00,115.50372422063566,123.53622464934071,127.67427084849339,133.11618115759237,147.20325761197006,161.82190118003197,175.41214673520076,187.0654002369793,199.11760457388482,210.24063085046978
2022-03-09 00:00:00,115.51097582394887,123.53792495184649,127.64008472805799,133.0327564960524,146.98370337730145,161.53306017951135,174.95383756463633,186.43930532207509,198.44259937270465,209.4693721288904
2022-03-10 00:00:00,115.5109367045648,123.52418989004119,127.582424953796,132.92887764463504,146.7922499776113,161.29172265661796,174.57269635576344,185.97912323092856,197.98139723266752,208.95724621514321
2022-03-11 00:00:00,115.49435475262388,123.48154445064374,127.49726389250354,132.80140456139446,146.56754836105077,160.90641107569292,174.1819255174723,185.4942752636415,197.39005698250926,208.27064066030354
2022-03-14 00:00:00,115.44474534480945,123.37408357210248,127.3272910462902,132.5473521354469,146.04220614019945,160.03315948899726,173.08643254049738,184.128969324861,195.7172822868836,206.2008608740215
2022-03-15 00:00:00,115.43863705756985,123.3571125686264,127.2906031103669,132.48538757205773,145.92872610811943,159.9422298592299,172.82795862579414,183.7060706039537,195.17517321957934,205.77457570793592
2022-03-16 00:00:00,115.4149226060755,123.29633865168299,127.16971671633462,132.31658941526234,145.7121870298134,159.6243964503594,172.40911479091312,183.21430688874753,194.66850605021486,205.20273422414516
2022-03-17 00:00:00,115.45443043636938,123.35484814050362,127.19099997077636,132.30553315566772,145.66257245182948,159.56340560045226,172.3841708676165,183.18636425743227,194.6288012543536,205.16000969381986
2022-03-18 00:00:00,115.4607767880656,123.36200010562774,127.18495058025849,132.27124562507115,145.51857767880045,159.38222015820563,172.27936554299555,183.09154092115722,194.4011185041292,205.22791172638898
2022-03-21 00:00:00,115.42816994746558,123.24332324772635,126.870755321643,131.7897081677464,144.8494427195198,158.54996564008584,171.16025096305538,181.6398196087861,192.6273725030633,203.0109152844262
2022-03-22 00:00:00,115.40990945675982,123.21427905026314,126.85248487376721,131.74953960559316,144.6243458507823,158.14967485098163,170.70687666764115,181.14993768864474,192.05418894518144,202.4715427827451
2022-03-23 00:00:00,115.45841268171849,123.31392467725233,126.99583027947322,131.94774914631788,144.9649554648703,158.536637810695,170.99241190083913,181.90352892665163,193.3521572399234,203.1642948746568
2022-03-24 00:00:00,115.48815939056094,123.37214678146826,127.07156432697242,132.0228906883954,144.9649337512889,158.51607070326318,171.06063328771637,181.86888999862086,193.10817408891043,202.98841939869868
2022-03-25 00:00:00,115.4624023627629,123.29960238922992,126.91272192756922,131.77568810349717,144.52503190100654,157.80561394892229,170.1236812700163,180.720825475198,191.79197940903813,201.48868900382217
2022-03-28 00:00:00,115.47600549026976,123.32226655702995,126.93066358521122,131.80837538210503,144.66126248950445,157.97863156148185,170.25363549073535,180.93656893539898,191.9704517009044,201.72873049143635
2022-03-29 00:00:00,115.50046483100903,123.37202250636238,127.00086995505637,131.8854905359824,144.70185364384508,158.05625267794528,170.46519785065993,181.19746846401358,192.3093534814324,202.21094923914268
2022-03-30 00:00:00,115.53122642635641,123.42944412708543,127.07587434507482,131.9921412145512,144.92475028263516,158.4613482065251,171.0201213520843,181.86803935472182,193.21663321035928,203.2590392395079
2022-03-31 00:00:00,115.55162755226576,123.49285300518534,127.20643977211422,132.17675544611393,145.19776873315593,158.89881241512245,171.75419738751924,182.7801698983328,194.3230536656933,204.59021988450752
2022-04-01 00:00:00,115.5304232895376,123.42818295222571,127.0746756423602,131.95031276412882,144.729013857674,158.24350389401425,170.93551340626618,181.73446237319374,192.94406385060577,203.0524316955677
2022-04-04 00:00:00,115.5202230212746,123.39672456356179,127.01017708373205,131.87209018883726,144.6439290268024,158.05034056268096,170.5737428376346,181.3144019719054,192.51471286976465,202.58347153898657
2022-04-05 00:00:00,115.48553865680829,123.3163326979168,126.87567319152393,131.6752921791221,144.29070494818956,157.47967937187383,169.74448872747197,180.3199512048602,191.21240182180415,200.93713779550168
2022-04-06 00:00:00,115.47015804750137,123.28295325108662,126.82327186054351,131.60183171870352,144.15716183284155,157.23654757237972,169.3796043065735,179.87154126671186,190.76634104972973,200.56381508234742
