date;2y Note;5y Note;10y Note;10y Note Ultra;30y Bond;30y Bond Ultra
2008-12-31;138.8272825425;188.5415706716;384.4091114808;;303.1288078726;
2009-01-02;138.4990151075;187.118805161;379.9670081797;;297.4676942508;
2009-01-05;138.8073875465;187.8240141372;379.5848917667;;292.0808546689;
2009-01-06;138.7576500563;187.947700063;380.1580663862;;291.3604135521;
2009-01-07;138.8173350445;188.256982927;380.5401827992;;291.3604135521;
2009-01-08;138.7278075622;188.9621795301;383.0717040353;;292.0808546689;
2009-01-09;138.9466525189;189.4694316368;383.7881723097;;292.3553345686;
2009-01-12;139.0461274993;190.0138872619;386.176399891;;296.0608132148;
2009-01-13;139.0461274993;190.1128656966;385.8420480296;;296.0608132148;
2009-01-14;139.0759699934;190.80571474;388.1347465076;;300.5554901927;
2009-01-15;139.0660224953;190.6820288127;388.2780401625;;301.1386913596;
2009-01-16;139.1356549816;190.1252256279;386.7973390621;;299.1145736491;
2009-01-19;;;;;;
2009-01-20;139.1754449737;190.0015397021;385.9853416845;;296.2668103796;
2009-01-21;138.966547515;188.7765825934;381.3521801768;;289.0960573094;
2009-01-22;139.0560749973;188.6652442258;379.4893626634;;285.3218557583;
2009-01-23;138.8770200327;188.4549397966;378.772894389;;284.6014146415;
2009-01-26;138.7974400484;188.3559613618;378.008661563;;283.7779749423;
2009-01-27;138.8770200327;189.0858654575;381.2566510735;;288.100896123;
2009-01-28;138.7675975543;188.170352052;378.5818361825;;283.091775193;
2009-01-29;138.5885425898;187.2795461391;375.4771403269;;279.1802993821;
2009-01-30;138.5487525976;187.1435126536;374.9994948106;;278.2196197331;
2009-02-02;138.648227578;188.1827119848;378.1997197695;;282.7485380784;
2009-02-03;138.5984900878;187.0815892696;374.6173783976;;278.8030610699;
2009-02-04;138.5288576016;186.5990570286;373.2799709521;;278.0823797832;
2009-02-05;138.5288576016;186.8342297896;374.0919683297;;278.6658211201;
2009-02-06;138.5388050996;186.4753711012;372.4202090229;;276.3327419724;
2009-02-09;138.3796451311;186.1660882372;371.6082116452;;275.9552978003;
2009-02-10;138.6979650681;187.6754598782;376.2891377045;;280.8616603178;
2009-02-11;138.668122574;187.7991458055;378.0564261146;;282.6800553435;
2009-02-12;138.8073875465;188.1580044923;379.537127215;;283.8809392147;
2009-02-13;138.6183850839;186.9826108348;375.0950239139;;277.2934216215;
2009-02-16;;;;;;
2009-02-17;138.8073875465;188.4302323056;380.3968891443;;284.0181791646;
